# Command: bash -c lsof -nP 2>/dev/null | head -n 200 || true
# Date: Thu Jan 29 09:23:31 CST 2026

COMMAND     PID     USER   FD      TYPE             DEVICE      SIZE/OFF                NODE NAME
loginwind   585 patopina  cwd       DIR               1,16           704                   2 /
loginwind   585 patopina    8u      REG               1,16          4132             7341020 /private/var/folders/jj/kshx6fns0jd2nbcfpl0qvn4w0000gn/C/com.apple.loginwindow/com.apple.metal/16777235_403/functions.list
loginwind   585 patopina    9u      REG               1,16        196608              370929 /private/var/folders/jj/kshx6fns0jd2nbcfpl0qvn4w0000gn/C/com.apple.loginwindow/com.apple.metal/16777235_403/functions.data
loginwind   585 patopina   10u      REG               1,16          1276             7341027 /private/var/folders/jj/kshx6fns0jd2nbcfpl0qvn4w0000gn/C/com.apple.loginwindow/com.apple.metal/32024/libraries.list
loginwind   585 patopina   11u      REG               1,16        196608              766108 /private/var/folders/jj/kshx6fns0jd2nbcfpl0qvn4w0000gn/C/com.apple.loginwindow/com.apple.metal/32024/libraries.data
callservi   905 patopina  cwd       DIR               1,16           704                   2 /
callservi   905 patopina  txt       REG               1,16      14999632 1152921500312460311 /System/Library/PrivateFrameworks/TelephonyUtilities.framework/callservicesd
callservi   905 patopina  txt       REG               1,16         73840             8400197 /Library/Preferences/Logging/.plist-cache.Mge4C6lV
callservi   905 patopina  txt       REG               1,16         32768             8404976 /private/var/db/mds/messages/501/se_SecurityMessages
callservi   905 patopina  txt       REG               1,16         61220 1152921500312198088 /System/Library/Frameworks/Security.framework/Versions/A/Resources/SecDebugErrorMessages.strings
callservi   905 patopina  txt       REG               1,16       2299152 1152921500312563341 /usr/lib/dyld
callservi   905 patopina  txt       REG               1,16         92244 1152921500312275358 /System/Library/PrivateFrameworks/CorePhoneNumbers.framework/Versions/A/Resources/CorePhoneNumbers.ruleset
callservi   905 patopina  txt       REG               1,16           110 1152921500312100234 /System/Library/CoreServices/SystemVersion.bundle/English.lproj/SystemVersion.strings
callservi   905 patopina  txt       REG               1,16        248480 1152921500312563357 /usr/lib/libobjc-trampolines.dylib
callservi   905 patopina  txt       REG               1,16          8384 1152921500312460157 /System/Library/PrivateFrameworks/TelephonyUtilities.framework/Versions/A/Resources/CallRecording.loctable
